C
2.445
2.345
2.435
2.86
2.715
2.775
2.735
2.62
2.805
2.965
2.87
2.83
2.75
2.565
2.77
2.445
2.66
2.515
2.58
2.74
2.57
2.5
2.485
2.2
2.91
2.325
2.46
1.91
1.34
2.7
2.815
2.16
2.735
2.485
2.685
2.66
2.445
2.01
2.335
1.325
2.33
0.17
0.24
0.17
0.37
0.325
0.47
0.9
0.215
0.465
0.775
0.41
0.265
0.295
0.43
0.355
0.445
0.235
0.29
0.645
1.71
0.75
1.24
0.235
0.67
0.475
0.895
0.875
0.535
1.83
0.55
1.77
2.945
0.76
0.78
0.85
0.57
0.56
2.115
0.91
1.145
1.18
0.96
0.495
0.935
0.7
0.47
0.45
0.425
0.695
0.435
0.695
0.63
0.725
0.58
0.665
